# T,# M,# J, ,# T,# M,# J,# Was,# Location,# Stadt,# Land,
16,5,2015,-,16,5,2015,Open Source System Management Conferencehttp://www.wuerth-phoenix.com/, ,Bozen,Italien,
16,6,2014,-,17,6,2014,DFN-Forum Kommunikationstechnologienhttp://dfn2014.hs-fulda.de/, ,Fulda,Deutschland,
16,7,2014,-,19,7,2014,Gaffenbergfestivalhttp://www.gaffenbergfestival.de/, ,Heilbronn,Deutschland,
16,8,2014,-,16,8,2014,OSHUG Camphttp://oshug.org/event/oshcamp2014, ,London,UK,
16,8,2014,-,18,8,2014,Parkfesthttp://www.nordheim.de/website/de/gemeinde/tourismus/nordheimer_parkfest, ,Nordheim,Deutschland,
17,10,2014,-,19,10,2014,Ubucon 2014, ,Katlenburg, ,http://ubucon.de/2013/
17,3,2014,-,21,3,2014,Troopers, ,Heidelberg,Deutschland,https://www.troopers.de/
17,6,2014,-,21,6,2014,Seefesthttp://www.seefest-heilbronn.de/,Laube,Heilbronn,Deutschland,
17,8,2013,-,19,8,2013,Parkfest Nordheim, ,Nordheim,Deutschland,http://www.nordheim.de/website/de/gemeinde/tourismus/nordheimer_parkfest
17,9,2012,-,19,9,2012,CPUG Conference, , , ,http://www.cpugcon.com/
18,11,2014,-,20,11,2014,OSMC Nürnberg, ,Nürnberg,Deutschland,http://www.netways.de/osmc/
18,11,2014,-,21,11,2014,DeepSechttps://deepsec.net, ,Wien,Österreich,
18,4,2014,-,20,4,2014,Not so secure CTFhttp://ctf.notsosecure.com/,Online, , ,
18,4,2014,-,21,4,2014,Easterhegg, ,Stuttgart,Deutschland,http://www.easterhegg.eu
18,4,2015,-,10,5,2015,Stuttgarter Frühlingsfesthttp://www.stuttgarter-fruehlingsfest.de/,Wasen,Stuttgart,Deutschland,
18,6,2011,-,18,6,2011,Ninjacon, , , ,http://ninjacon.net/
18,6,2011,-,18,6,2011,Ninjaconhttp://ninjacon.net/,The Hub,Wien,Österreich,
18,6,2011,18,6,2011,Ninjacon,The Hub,Wien,Österreich,http://ninjacon.net/
18,7,2014,-,18,7,2014,Hope Konferenz, , , ,http://x.hope.net/
18,7,2014,-,18,7,2014,Hope Konferenzhttp://x.hope.net/, , , ,
18,7,2014,18,7,2014,Hope Konferenz, , , ,http://x.hope.net/
18,8,2012,-,20,8,2012,Erlenbacher Weinfest, ,Erlenbach,Deutschland,http://www.erlenbach-hn.de
19,11,2013,-,22,11,2013,DeepSec, ,Wien,Österreich,https://deepsec.net
19,11,2015,-,19,11,2015,Project Pitchfork ,Universum,Stuttgart,Deutschland,
19,3,2014,-,21,3,2014,FOSSGIS, ,Berlin,Deutschland,https://www.fossgis.de/konferenz/2014/
19,3,2014,-,21,3,2014,FOSSGIShttps://www.fossgis.de/, ,Berlin,Deutschland,
19,3,2014,21,3,2014,FOSSGIS, ,Berlin,Deutschland,https://www.fossgis.de/
19,4,2014,-,11,5,2014,Stuttgarter Frühlingsfest,Deutschland,Stuttgart, ,http://www.stuttgarter-fruehlingsfest.de/
19,5,2014,-,19,5,2014,Open Discussion Day, , , ,http://opendiscussionday.org/
19,5,2014,-,19,5,2014,Open Discussion Dayhttp://opendiscussionday.org/, , , ,
19,5,2014,19,5,2014,Open Discussion Day, , , ,http://opendiscussionday.org/
19,6,2014,-,22,6,2014,GPN, ,Karlsruhe,Deutschland,https://entropia.de/GPN
19,6,2014,-,22,6,2014,GPNhttps://entropia.de/GPN, ,Karlsruhe,Deutschland,
19,6,2014,22,6,2014,GPN, ,Karlsruhe,Deutschland,https://entropia.de/GPN
19,6,2015,-,21,6,2015,Southsidehttp://www.southside.de/,Take-Off Park,Tuttlingen,Deutschland,
19,6,2015,21,6,2015,Southside,Take-Off Park,Tuttlingen,Deutschland,http://www.southside.de/
19,7,2014,-,20,7,2014,Nation of Gondwana, , , ,http://pyonen.de/
19,7,2014,-,20,7,2014,Nation of Gondwanahttp://pyonen.de/, , , ,
19,7,2014,20,7,2014,Nation of Gondwana, , , ,http://pyonen.de/
19,9,2013,-,20,9,2013,Monitorama, ,Berlin,Deutschland,http://monitorama.eu/
19,9,2013,-,20,9,2013,Monitoramahttp://monitorama.eu/, ,Berlin,Deutschland,
19,9,2013,20,9,2013,Monitorama, ,Berlin,Deutschland,http://monitorama.eu/
2,10,2013,-,4,10,2013,International Summit for Community Wireless Networks, ,Berlin,Deutschland,http://2013.wirelesssummit.org/
2,10,2013,-,4,10,2013,International Summit for Community Wireless Networkshttp://2013.wirelesssummit.org/, ,Berlin,Deutschland,
2,10,2013,4,10,2013,International Summit for Community Wireless Networks, ,Berlin,Deutschland,http://2013.wirelesssummit.org/
2,12,2013,-,2,12,2013,Passwords, , , ,http://passwordscon.org/
2,12,2014,-,7,12,2014,chocolART Schokoladenfestival, ,Tübingen,Deutschland,http://www.chocolart.de/
2,6,2014,-,3,6,2014,Area 41, , ,Schweiz,http://area41.io/
2,6,2014,-,3,6,2014,Area 41http://area41.io/, , ,Schweiz,
2,6,2014,3,6,2014,Area 41, , ,Schweiz,http://area41.io/
2,9,2012,-,3,9,2012,Ganzhornfest Neckarsulm, ,Neckarsulm,Deutschland,http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html
2,9,2012,-,3,9,2012,Ganzhornfest Neckarsulmhttp://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html, ,Neckarsulm,Deutschland,
2,9,2012,3,9,2012,Ganzhornfest Neckarsulm, ,Neckarsulm,Deutschland,http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html
20,10,2015,-,20,10,2015,Apocalyptica ,FILharmonie,Filderstadt,Deutschland,
20,11,2014,-,20,11,2014,Denog 6http://www.denog.de/meetings/denog5/?lang=de, ,Darmstadt,Deutschland,
20,11,2014,-,20,11,2014,IRISSCERT Cyber Crime Conferencehttps://www.iriss.ie/iriss/irisscon.htm, ,Dublin, ,
20,11,2014,-,23,11,2014,Hobby Elektronikhttp://www.messe-stuttgart.de/hobby/,Messe,Stuttgart,Deutschland,
20,11,2014,20,11,2014,Denog 6, ,Darmstadt,Deutschland,http://www.denog.de/meetings/denog5/?lang=de
20,11,2014,20,11,2014,IRISSCERT Cyber Crime Conference, ,Dublin, ,https://www.iriss.ie/iriss/irisscon.htm
20,11,2014,23,11,2014,Hobby Elektronik,Messe,Stuttgart,Deutschland,http://www.messe-stuttgart.de/hobby/
20,2,2012,-,20,2,2012,Fasching Ballei, ,Neckarsulm,Deutschland,http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html
20,2,2012,-,20,2,2012,Fasching Balleihttp://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html,Ballei,Neckarsulm,Deutschland,
20,2,2012,20,2,2012,Fasching Ballei,Ballei,Neckarsulm,Deutschland,http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html
20,3,2014,-,20,3,2014,SchnitzelS, ,Stuttgart,Deutschland,http://schnitzels.mixxt.de/
20,6,2013,-,22,6,2013,Strombike, , ,Deutschland,http://www.strombike.de/
20,6,2014,-,22,6,2014,Southside, ,Tuttlingen,Deutschland,http://www.southside.de/
20,7,2014,-,20,7,2014,Aspen-Mountainbike-Marathon, , ,Deutschland,http://www.hardtwaldracers.de
20,7,2014,-,20,7,2014,Aspen-Mountainbike-Marathonhttp://www.hardtwaldracers.de, , ,Deutschland,
20,7,2014,20,7,2014,Aspen-Mountainbike-Marathon, , ,Deutschland,http://www.hardtwaldracers.de
20,9,2014,-,21,9,2014,Barcamp Stuttgart, ,Stuttgart,Deutschland,http://www.barcamp-stuttgart.de/
20,9,2014,-,21,9,2014,Barcamp Stuttgarthttp://www.barcamp-stuttgart.de/, ,Stuttgart,Deutschland,
20,9,2014,21,9,2014,Barcamp Stuttgart, ,Stuttgart,Deutschland,http://www.barcamp-stuttgart.de/
21,1,2012,-,21,1,2012,Barcamp München, ,München,Deutschland,http://barcampmunich.mixxt.de/
21,1,2012,-,21,1,2012,Barcamp Münchenhttp://barcampmunich.mixxt.de/, ,München,Deutschland,
21,1,2012,21,1,2012,Barcamp München, ,München,Deutschland,http://barcampmunich.mixxt.de/
21,11,2013,-,21,11,2013,IRISSCERT Cyber Crime Conference, ,Dublin, ,https://www.iriss.ie/iriss/irisscon.htm
21,3,2013,-,23,3,2013,Unlike Us #3, ,Amsterdam, ,http://networkcultures.org/wpmu/unlikeus/
21,3,2013,-,23,3,2013,Unlike Us #3http://networkcultures.org/wpmu/unlikeus/, ,Amsterdam,Niederlande,
21,3,2013,23,3,2013,Unlike Us #3, ,Amsterdam,Niederlande,http://networkcultures.org/wpmu/unlikeus/
21,3,2015,-,22,3,2015,Chemnitzer Linuxtagehttp://chemnitzer.linux-tage.de/, ,Chemnitz,Deutschland,
21,3,2015,22,3,2015,Chemnitzer Linuxtage, ,Chemnitz,Deutschland,http://chemnitzer.linux-tage.de/
21,4,2015,-,23,4,2015,Open Source Data Center Conferencehttp://www.netways.de/osdc/overview/overview/,Hotel MOA,Berlin,Deutschland,
21,4,2015,23,4,2015,Open Source Data Center Conference,Hotel MOA,Berlin,Deutschland,http://www.netways.de/osdc/overview/overview/
21,8,2014,-,24,8,2014,Camp ++http://camp.hsbp.org/2014/pp/,Fort Monostor,Komarom,Ungarn,
21,8,2014,24,8,2014,Camp ++,Fort Monostor,Komarom,Ungarn,http://camp.hsbp.org/2014/pp/
21,9,2014,-,21,9,2014,Badenmarathon, ,Karlsruhe,Deutschland,http://www.badenmarathon.de
21,9,2014,-,21,9,2014,Badenmarathonhttp://www.badenmarathon.de, ,Karlsruhe,Deutschland,
21,9,2014,21,9,2014,Badenmarathon, ,Karlsruhe,Deutschland,http://www.badenmarathon.de
22,11,2013,-,24,11,2013,Startup Weekend Stuttgart, ,Stuttgart,Deutschland,http://stuttgart.startupweekend.org/
22,11,2013,-,24,11,2013,Startup Weekend Stuttgarthttp://stuttgart.startupweekend.org/, ,Stuttgart,Deutschland,
22,11,2013,24,11,2013,Startup Weekend Stuttgart, ,Stuttgart,Deutschland,http://stuttgart.startupweekend.org/
22,2,2016,-,22,2,2016,Machine Head ,LKA,Stuttgart,Deutschland,
22,3,2014,-,23,3,2014,Kulinart, ,Stuttgart,Deutschland,http://www.kulinart-messe.de/
22,5,2014,-,23,5,2014,IPv6 Kongress, ,Frankfurt am Main,Deutschland,http://www.ipv6-kongress.de/events/ipv6-kongress/
22,5,2014,-,23,5,2014,IPv6 Kongresshttp://www.ipv6-kongress.de/events/ipv6-kongress/, ,Frankfurt am Main,Deutschland,
22,5,2014,23,5,2014,IPv6 Kongress, ,Frankfurt am Main,Deutschland,http://www.ipv6-kongress.de/events/ipv6-kongress/
22,6,2012,-,29,6,2012,Open Community Camphttp://opencommunitycamp.org/site/, ,Oegstgeest,Niederlande,
22,6,2012,-,29,6,9012,Open Community Camp, , ,NL,http://opencommunitycamp.org/site/
22,6,2012,29,6,2012,Open Community Camp, ,Oegstgeest,Niederlande,http://opencommunitycamp.org/site/
22,8,2014,-,25,8,2014,Erlenbacher Weinfesthttp://www.erlenbach-hn.de, ,Erlenbach,Deutschland,
22,8,2014,-,25,8,2014,Schäferlauf Markgröningenhttp://www.markgroeningen.de, ,Markgröningen,Deutschland,
22,8,2014,25,8,2014,Erlenbacher Weinfest, ,Erlenbach,Deutschland,http://www.erlenbach-hn.de
22,8,2014,25,8,2014,Schäferlauf Markgröningen, ,Markgröningen,Deutschland,http://www.markgroeningen.de
22,9,2014,-,23,9,2014,Open Source Backup Conference 2014http://osbconf.org/,NH Hotel Cologne Mediapark,Köln,Deutschland,
22,9,2014,23,9,2014,Open Source Backup Conference 2014,NH Hotel Cologne Mediapark,Köln,Deutschland,http://osbconf.org/
23,11,2013,-,24,11,2013,push.conference, ,München, ,http://push-conference.com/2012/about.php
23,3,2013,-,23,3,2013,Linuxinfotage Augsburg, ,Augsburg,Deutschland,http://www.luga.de/
23,3,2013,-,23,3,2013,Linuxinfotage Augsburghttp://www.luga.de/, ,Augsburg,Deutschland,
23,3,2013,23,3,2013,Linuxinfotage Augsburg, ,Augsburg,Deutschland,http://www.luga.de/
23,8,2013,-,25,8,2013,openmind #13, , ,Deutschland,http://13.openmind-konferenz.de/
23,8,2014,-,23,8,2014,Echelon, , ,Deutschland,http://www.echelon-openair.de
23,8,2014,-,23,8,2014,Echelonhttp://www.echelon-openair.de, , ,Deutschland,
23,8,2014,-,24,8,2014,Frosconhttp://www.froscon.de,Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Deutschland,
23,8,2014,-,31,8,2014,DebConf14http://wiki.debconf.org/wiki/DebConf14, ,Portland,USA,
23,8,2014,23,8,2014,Echelon, , ,Deutschland,http://www.echelon-openair.de
23,8,2014,24,8,2014,Froscon,Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Deutschland,http://www.froscon.de
23,8,2014,31,8,2014,DebConf14, ,Portland,USA,http://wiki.debconf.org/wiki/DebConf14
23,9,2014,-,24,9,2014,Puppetconf, , , ,http://puppetconf.com/
23,9,2014,-,24,9,2014,Puppetconfhttp://puppetconf.com/, , , ,
23,9,2014,-,26,9,2014,Frühjahrsfachgesprächhttp://www.guug.de/veranstaltungen/ffg2014/cfp.html,Ruhr Uni,Bochum,Deutschland,
23,9,2014,24,9,2014,Puppetconf, , , ,http://puppetconf.com/
23,9,2014,26,9,2014,Frühjahrsfachgespräch,Ruhr Uni,Bochum,Deutschland,http://www.guug.de/veranstaltungen/ffg2014/cfp.html
24,10,2014,-,26,10,2014,hackover, , ,Deutschland,http://hackover.de/
24,10,2014,-,26,10,2014,hackoverhttp://hackover.de/, , ,Deutschland,
24,10,2014,26,10,2014,hackover, , ,Deutschland,http://hackover.de/
24,11,2012,-,25,11,2012,Barcamp Braunschweig, ,Braunschweig,Deutschland,http://www.barcamp-braunschweig.de/
24,11,2012,-,25,11,2012,Barcamp Braunschweighttp://www.barcamp-braunschweig.de/, ,Braunschweig,Deutschland,
24,11,2012,25,11,2012,Barcamp Braunschweig, ,Braunschweig,Deutschland,http://www.barcamp-braunschweig.de/
24,5,2013,-,25,5,2013,Barcamp Rootcamp, , ,Deutschland,http://rootcamp.mixxt.de/
24,5,2013,-,25,5,2013,Barcamp Rootcamphttp://rootcamp.mixxt.de/, , ,Deutschland,
24,5,2013,25,5,2013,Barcamp Rootcamp, , ,Deutschland,http://rootcamp.mixxt.de/
24,6,2015,-,28,6,2014,Glastonburyhttp://www.glastonburyfestivals.co.uk/, , , ,
24,6,2015,28,6,2014,Glastonbury, , , ,http://www.glastonburyfestivals.co.uk/
24,7,2015,-,26,7,2015,Das Festhttp://www.dasfest.net/, ,Karlsruhe,Deutschland,
24,7,2015,26,7,2015,Das Fest, ,Karlsruhe,Deutschland,http://www.dasfest.net/
24,8,2012,-,27,8,2012,Schäferlauf Markgröningen, ,Markgröningen,Deutschland,http://www.markgroeningen.de
24,8,2013,-,25,8,2013,Froscon, , ,Deutschland,http://www.froscon.de
25,10,2013,-,27,10,2013,Not so secure CTF, , , ,http://ctf.notsosecure.com/
25,10,2015,-,25,10,2015,Zeitumstellung auf Winterzeit  , , , ,
25,10,2015,-,25,10,2015,Zeitumstellung auf Winterzeit, , , , 
25,10,2020,-,25,10,2020,Zeitumstellung auf Winterzeit , , , ,
25,10,2020,-,25,10,2020,Zeitumstellung auf Winterzeit, , , , 
25,10,2020,25,10,2020,Zeitumstellung auf Winterzeit, , , , 
25,11,2014,-,21,12,2014,Esslingen Weihnachtsmarkthttp://tourist.esslingen.de/, ,Esslingen,Deutschland,
25,11,2014,-,22,12,2014,Weihnachtsmarkt LBhttp://www.ludwigsburg.de/,Lde/start/tourismus/weihnachtsmarkt.html,Ludwigsburg,Deutschland,
25,11,2014,21,12,2014,Esslingen Weihnachtsmarkt, ,Esslingen,Deutschland,http://tourist.esslingen.de/
25,11,2014,22,12,2014,Weihnachtsmarkt LB,Ludwigsburg,Deutschland,http://www.ludwigsburg.de/,Lde/start/tourismus/weihnachtsmarkt.html
25,11,2015,-,25,11,2015,Motörhead ,MHP Arena,Ludwigsburg,Deutschland,
25,3,2018,-,25,3,2018,Zeitumstellung auf Sommerzeit , , , ,
25,3,2018,-,25,3,2018,Zeitumstellung auf Sommerzeit, , , , 
25,3,2018,25,3,2018,Zeitumstellung auf Sommerzeit, , , , 
25,5,2014,-,25,5,2014,Bezirksbeiräte, , , , 
25,5,2014,-,25,5,2014,Europawahl, , , , 
25,5,2014,-,25,5,2014,Gemeinderäte, , , , 
25,5,2014,-,25,5,2014,Kreistage, , , , 
25,5,2014,-,25,5,2014,Ortschaftsräte, , , , 
25,5,2014,-,25,5,2014,Regionalversammlung , ,Stuttgart, , 
25,6,2014,-,29,6,2014,Glastonbury, , , ,http://www.glastonburyfestivals.co.uk/
25,7,2014,-,27,7,2014,Das Fest, ,Karlsruhe,Deutschland,http://www.dasfest.net/
25,8,2014,-,1,9,2014,Burning Man, , ,USA,http://www.burningman.com/
25,8,2014,-,1,9,2014,Burning Manhttp://www.burningman.com/, , ,USA,
25,8,2014,1,9,2014,Burning Man, , ,USA,http://www.burningman.com/
25,9,2014,-,26,9,2014,Kommunikations Kongress, , , ,http://www.kommunikationskongress.de/
25,9,2014,-,26,9,2014,Kommunikations Kongresshttp://www.kommunikationskongress.de/, , , ,
25,9,2014,26,9,2014,Kommunikations Kongress, , , ,http://www.kommunikationskongress.de/
26,10,2013,-,27,10,2013,Trollcon, , ,Deutschland,https://raumzeitlabor.de/wiki/Trollcon/2013
26,10,2014,-,26,10,2014,Zeitumstellung auf Winterzeit, , , , 
26,2,2013,-,26,2,2013,Frühjahrsfachgespräch, , ,Deutschland,http://www.guug.de/veranstaltungen/ffg2014/
26,3,2014,-,28,3,2014,Deutscher Perl-Workshop 2014, ,Hannover,Deutschland,http://act.yapc.eu/gpw2014/
26,3,2017,-,26,3,2017,Zeitumstellung auf Sommerzeit , , , ,
26,3,2017,-,26,3,2017,Zeitumstellung auf Sommerzeit, , , , 
26,3,2017,26,3,2017,Zeitumstellung auf Sommerzeit, , , , 
26,4,2014,-,26,4,2014,COSÌ FAN TUTTE,MET im Kino, , ,http://metimkino.de
26,4,2014,-,27,4,2014,Barcamp Nürnberg, ,Nürnberg,Deutschland,http://www.bcnue.de/
26,4,2014,-,27,4,2014,Barcamp Nürnberghttp://www.bcnue.de/, ,Nürnberg,Deutschland,
26,4,2014,27,4,2014,Barcamp Nürnberg, ,Nürnberg,Deutschland,http://www.bcnue.de/
26,6,2014,-,29,6,2014,Fusion Festival, , ,Deutschland,http://www.fusion-festival.de/
26,6,2014,-,29,6,2014,Fusion Festivalhttp://www.fusion-festival.de/, , ,Deutschland,
26,6,2014,29,6,2014,Fusion Festival, , ,Deutschland,http://www.fusion-festival.de/
26,6,2015,-,28,6,2015,HAM RADIOhttp://www.hamradio-friedrichshafen.de/,Messe,Friedrichshafen,Deutschland,
26,6,2015,28,6,2015,HAM RADIO,Messe,Friedrichshafen,Deutschland,http://www.hamradio-friedrichshafen.de/
